coop_id,longitude,latitude,huc6_id,SeasPrcpMedian,SeasPrcp07_11,SeasPrcp11,DailyPrcp07_11,DailyPrcp11,Drought07_11,Drought11,Aridity07_11,Aridity11,StressDD07_11,StressDD11,WarmNight07_11,WarmNight11
IA0112,-92.8,41.03,071000,25.59,0.494444444444444,0.777777777777778,0.00683060109289617,0.0109289617486339,51,38,-0.104608052779114,-0.563698825868255,-0.0391212728131501,-0.953944049732007,0.0983606557377049,0.0601092896174863
IA0133,-94.3,43.07,071000,23.99,0.688888888888889,0.911111111111111,0.0150273224043716,0.0109289617486339,62,42,-0.368429025618348,-0.834142377651941,-0.206150122592962,-1.01990060651255,0.101092896174863,0.087431693989071
IA0157,-92.78,42.75,070802,25.06,0.566666666666667,0.733333333333333,0.00819672131147541,0.00546448087431694,6,0,-0.260945902796031,-0.693346715806598,0.202648039496336,-0.931968260678427,0.10655737704918,0.0710382513661202
IA0200,-93.8,42.03,070801,25.96,0.527777777777778,0.911111111111111,0.00683060109289617,0.0163934426229508,40,33,0.040434391368656,-0.712492214979246,0.130750532070495,-0.935835382364133,0.154371584699454,0.12568306010929
IA0213,-91.3,42.12,070801,24.8109,0.633333333333333,0.688888888888889,0.0122950819672131,0.0109289617486339,6,6,-0.454968618622638,-0.605710484158297,-0.343591639153523,-0.995269516181076,0.105191256830601,0.0819672131147541
IA0241,-93.6,41.68,071000,25.1706,0.6,0.888888888888889,0.0150273224043716,0.0163934426229508,38,31,-0.252372281372561,-0.880062046492509,-0.0110640068078548,-1.25106778866931,0.12431693989071,0.103825136612022
IA0364,-95,41.42,102400,22.97,0.5,0.866666666666667,0.0109289617486339,0.0109289617486339,27,17,-0.0101018381145414,-0.926486677178978,0.0153657206277588,-0.999481027910225,0.0833333333333333,0.0601092896174863
IA0385,-94.93,41.72,102400,24.06,0.661111111111111,0.977777777777778,0.0191256830601093,0.0327868852459016,29,19,-0.78280496738446,-1.81058814080494,-0.35255967299287,-1.12340050055141,0.0778688524590164,0.0601092896174863
IA0576,-94.72,40.68,102400,26.28,0.638888888888889,1,0.0204918032786885,0.0382513661202186,24,15,-0.570215030775633,-1.84647994010542,0.0229366696566498,-0.858650297472743,0.118852459016393,0.0765027322404372
IA0600,-92.27,41.88,070802,24.48,0.533333333333333,0.755555555555556,0.0109289617486339,0.0109289617486339,21,21,0.217464658012487,-0.304284684899931,0.0947396086013624,-0.867615362980898,0.101092896174863,0.0765027322404372
